Clave_Municipal,Municipio
1,Abalá
2,Acanceh
3,Akil
4,Baca
5,Bokobá
6,Buctzotz
7,Cacalchén
8,Calotmul
9,Cansahcab
10,Cantamayec
11,Celestún
12,Cenotillo
13,Conkal
14,Cuncunul
15,Cuzamá
16,Chacsinkín
17,Chankom
18,Chapab
19,Chemax
20,Chicxulub Pueblo
21,Chichimilá
22,Chikindzonot
23,Chocholá
24,Chumayel
25,Dzán
26,Dzemul
27,Dzidzantún
28,Dzilam de Bravo
29,Dzilam González
30,Dzitás
31,Dzoncauich
32,Espita
33,Halachó
34,Hocabá
35,Hoctún
36,Homún
37,Huhí
38,Hunucmá
39,Ixil
40,Izamal
41,Kanasín
42,Kantunil
43,Kaua
44,Kinchil
45,Kopomá
46,Mama
47,Maní
48,Maxcanú
49,Mayapán
50,Mérida
51,Mocochá
52,Motul
53,Muna
54,Muxupip
55,Opichén
56,Oxkutzcab
57,Panabá
58,Peto
59,Progreso
60,Quintana Roo
61,Río Lagartos
62,Sacalum
63,Samahil
64,Sanahcat
65,San Felipe
66,Santa Elena
67,Seyé
68,Sinanché
69,Sotuta
70,Sucilá
71,Sudzal
72,Suma
73,Tahdziú
74,Tahmek
75,Teabo
76,Tecoh
77,Tekal de Venegas
78,Tekantó
79,Tekax
80,Tekit
81,Tekom
82,Telchac Pueblo
83,Telchac Puerto
84,Temax
85,Temozón
86,Tepakán
87,Tetiz
88,Teya
89,Ticul
90,Timucuy
91,Tinum
92,Tixcacalcupul
93,Tixkokob
94,Tixmehuac
95,Tixpéhual
96,Tizimín
97,Tunkás
98,Tzucacab
99,Uayma
100,Ucú
101,Umán
102,Valladolid
103,Xocchel
104,Yaxcabá
105,Yaxkukul
106,Yobaín
